date,index
2021-02-23,61.712963
2021-02-24,61.712963
2021-02-25,61.712963
2021-02-26,61.712963
2021-02-27,61.712963
2021-02-28,61.712963
2021-03-01,61.712963
2021-03-02,61.712963
2021-03-03,61.712963
2021-03-04,61.712963
2021-03-05,61.712963
2021-03-06,61.712963
2021-03-07,61.712963
2021-03-08,61.712963
2021-03-09,61.712963
2021-03-10,61.712963
2021-03-11,61.296295
2021-03-12,61.296295
2021-03-13,61.296295
2021-03-14,61.296295
2021-03-15,61.296295
2021-03-16,61.296295
2021-03-17,61.296295
2021-03-18,61.296295
2021-03-19,61.296295
2021-03-20,61.296295
2021-03-21,61.296295
2021-03-22,61.296295
2021-03-23,61.296295
2021-03-24,61.296295
2021-03-25,61.296295
2021-03-26,61.296295
2021-03-27,61.296295
2021-03-28,60.775463
2021-03-29,60.775463
2021-03-30,61.296295
2021-03-31,61.296295
2021-04-01,61.296295
2021-04-02,61.296295
2021-04-03,61.296295
2021-04-04,61.296295
2021-04-05,61.296295
2021-04-06,61.296295
2021-04-07,61.296295
2021-04-08,61.296295
2021-04-09,61.296295
2021-04-10,61.296295
2021-04-11,61.296295
2021-04-12,61.296295
2021-04-13,61.296295
2021-04-14,61.296295
2021-04-15,61.296295
2021-04-16,61.296295
2021-04-17,61.296295
2021-04-18,61.296295
2021-04-19,61.296295
2021-04-20,61.296295
2021-04-21,61.296295
2021-04-22,61.296295
2021-04-23,62.685184
2021-04-24,62.685184
2021-04-25,62.685184
2021-04-26,62.685184
2021-04-27,62.685184
2021-04-28,62.685184
2021-04-29,62.685184
2021-04-30,62.685184
2021-05-01,62.685184
2021-05-02,62.685184
2021-05-03,62.685184
2021-05-04,62.685184
2021-05-05,62.685184
2021-05-06,62.685184
2021-05-07,62.685184
2021-05-08,62.685184
2021-05-09,62.685184
2021-05-10,62.685184
2021-05-11,62.685184
2021-05-12,62.685184
2021-05-13,62.685184
2021-05-14,62.685184
2021-05-15,62.685184
2021-05-16,62.685184
2021-05-17,62.685184
2021-05-18,62.685184
2021-05-19,62.685184
2021-05-20,62.685184
2021-05-21,62.685184
2021-05-22,62.685184
2021-05-23,62.685184
2021-05-24,62.685184
2021-05-25,56.78241
2021-05-26,56.78241
2021-05-27,56.78241
2021-05-28,56.78241
2021-05-29,56.78241
2021-05-30,56.78241
2021-05-31,56.78241
2021-06-01,56.78241
2021-06-02,56.78241
2021-06-03,56.78241
2021-06-04,56.78241
2021-06-05,56.78241
2021-06-06,56.78241
2021-06-07,56.78241
2021-06-08,56.78241
2021-06-09,56.78241
2021-06-10,56.78241
2021-06-11,56.78241
2021-06-12,56.78241
2021-06-13,56.78241
2021-06-14,56.78241
2021-06-15,46.192127
2021-06-16,46.192127
2021-06-17,46.192127
2021-06-18,46.192127
2021-06-19,46.192127
2021-06-20,46.192127
2021-06-21,46.192127
2021-06-22,46.192127
2021-06-23,46.192127
2021-06-24,46.192127
2021-06-25,46.192127
2021-06-26,46.192127
2021-06-27,46.192127
2021-06-28,46.192127
2021-06-29,46.192127
2021-06-30,46.192127
2021-07-01,29.942129
2021-07-02,29.942129
2021-07-03,29.942129
2021-07-04,29.942129
2021-07-05,29.942129
2021-07-06,29.942129
2021-07-07,29.942129
2021-07-08,29.942129
2021-07-09,29.942129
2021-07-10,29.942129
2021-07-11,29.942129
2021-07-12,29.942129
2021-07-13,29.942129
2021-07-14,29.942129
2021-07-15,29.942129
2021-07-16,29.942129
2021-07-17,29.942129
2021-07-18,29.942129
2021-07-19,29.942129
2021-07-20,29.942129
2021-07-21,29.942129
2021-07-22,29.942129
2021-07-23,29.942129
2021-07-24,29.942129
2021-07-25,29.942129
2021-07-26,29.942129
2021-07-27,29.942129
2021-07-28,29.942129
2021-07-29,32.256943
2021-07-30,32.256943
2021-07-31,32.256943
2021-08-01,32.256943
2021-08-02,32.256943
2021-08-03,32.256943
2021-08-04,32.256943
2021-08-05,32.256943
2021-08-06,32.256943
2021-08-07,32.256943
2021-08-08,32.256943
2021-08-09,41.840275
2021-08-10,41.840275
2021-08-11,41.840275
2021-08-12,41.840275
2021-08-13,41.840275
